,feat_name,feat_value,class_cat,probabilities,class
32,eug,-6.289685155896144,0,0.97,Das
31,haus,-6.289685155896144,0,0.97,Das
37,ett,-6.289685155896144,0,0.97,Das
25,ssen,-6.13787914302814,0,0.97,Das
34,zeug,-6.289685155896144,0,0.97,Das
48,nhaus,-6.46873338734513,0,0.96,Das
72,gnis,-6.686986953365148,0,0.95,Das
73,sein,-6.686986953365148,0,0.95,Das
78,enhaus,-6.686986953365148,0,0.95,Das
80,eln,-6.686986953365148,0,0.95,Das
