,feat_name,feat_value,class_cat,probabilities,class
2859,tte,-10.400559020069455,2,0.99,Die
6736,heit,-10.400559020069455,2,0.99,Die
7038,igkeit,-10.400559020069455,2,0.99,Die
3957,tion,-10.400559020069455,2,0.99,Die
2834,tung,-10.400559020069455,2,0.99,Die
2556,nung,-10.400559020069455,2,0.99,Die
6631,gkeit,-10.400559020069455,2,0.99,Die
6553,lung,-10.400559020069455,2,0.99,Die
5157,ation,-10.400559020069455,2,0.99,Die
4568,dung,-10.400559020069455,2,0.99,Die
